##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR25630385_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	33181752
Total Bases	4.9 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.1095267061245	37.0	37.0	37.0	37.0	37.0
2	36.040051742897724	37.0	37.0	37.0	37.0	37.0
3	36.16835271386514	37.0	37.0	37.0	37.0	37.0
4	36.18034337065746	37.0	37.0	37.0	37.0	37.0
5	36.242312853160975	37.0	37.0	37.0	37.0	37.0
6	36.18505364032617	37.0	37.0	37.0	37.0	37.0
7	36.18115692022531	37.0	37.0	37.0	37.0	37.0
8	36.25173462811728	37.0	37.0	37.0	37.0	37.0
9	36.26690603919889	37.0	37.0	37.0	37.0	37.0
10-14	36.273425562339206	37.0	37.0	37.0	37.0	37.0
15-19	36.25890717283403	37.0	37.0	37.0	37.0	37.0
20-24	36.231129411129345	37.0	37.0	37.0	37.0	37.0
25-29	36.18920342120573	37.0	37.0	37.0	37.0	37.0
30-34	36.148757594234326	37.0	37.0	37.0	37.0	37.0
35-39	36.10977269675212	37.0	37.0	37.0	37.0	37.0
40-44	36.084974102633275	37.0	37.0	37.0	37.0	37.0
45-49	36.05084275839322	37.0	37.0	37.0	37.0	37.0
50-54	36.00806048456995	37.0	37.0	37.0	37.0	37.0
55-59	35.96710790316316	37.0	37.0	37.0	37.0	37.0
60-64	35.92480642975091	37.0	37.0	37.0	37.0	37.0
65-69	35.89389467439814	37.0	37.0	37.0	37.0	37.0
70-74	35.84890571179002	37.0	37.0	37.0	37.0	37.0
75-79	35.766185824063776	37.0	37.0	37.0	37.0	37.0
80-84	35.741981719349845	37.0	37.0	37.0	37.0	37.0
85-89	35.69054860032707	37.0	37.0	37.0	37.0	37.0
90-94	35.620829358256906	37.0	37.0	37.0	37.0	37.0
95-99	35.53977026891165	37.0	37.0	37.0	37.0	37.0
100-104	35.49038869918623	37.0	37.0	37.0	37.0	37.0
105-109	35.42381222064465	37.0	37.0	37.0	37.0	37.0
110-114	35.256089684474766	37.0	37.0	37.0	34.6	37.0
115-119	35.117961101029266	37.0	37.0	37.0	25.0	37.0
120-124	35.02042249004815	37.0	37.0	37.0	25.0	37.0
125-129	34.79510521325095	37.0	37.0	37.0	25.0	37.0
130-134	34.56352870095587	37.0	37.0	37.0	25.0	37.0
135-139	34.305304927841064	37.0	37.0	37.0	25.0	37.0
140-144	34.00689709211255	37.0	37.0	37.0	25.0	37.0
145-149	33.789230116601445	37.0	37.0	37.0	25.0	37.0
150	33.67567378600141	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.027791144783840593
1101	2	-0.01793284534993944
1101	3	-0.006371172273283321
1101	4	-0.1387948882042096
1101	5	-0.008680843420648898
1101	6	-0.025400432571551335
1101	7	-0.0827544970555536
1101	8	-0.04742684149606902
1101	9	-0.054918051224696285
1101	10-14	-0.031134578317519868
1101	15-19	-0.05219876438201965
1101	20-24	-0.072986758023454
1101	25-29	-0.03937485152558651
1101	30-34	-0.046534524322815685
1101	35-39	-0.06838082891690789
1101	40-44	-0.0653839712627331
1101	45-49	-0.0388310002193748
1101	50-54	-0.05418586793132363
1101	55-59	-0.04772260152819996
1101	60-64	-0.08465868121054854
1101	65-69	-0.10617188580344106
1101	70-74	-0.057620454451033254
1101	75-79	-0.05491110214785522
1101	80-84	-0.03496852663948147
1101	85-89	-0.0993343416855339
1101	90-94	-0.07987351127250975
1101	95-99	-0.029599009279600352
1101	100-104	-0.034870351461862015
1101	105-109	-0.10269726410106017
1101	110-114	-0.07711690991338571
1101	115-119	-0.007074890701701975
1101	120-124	-0.05551169448670379
1101	125-129	0.02577760439481125
1101	130-134	-0.08834040881678362
1101	135-139	-0.09103582413086286
1101	140-144	-0.17521012372618117
1101	145-149	-0.08169310129294871
1101	150	-0.07044090794338587
1102	1	0.004073921333258568
1102	2	0.0976000050792507
1102	3	-0.011008143491636702
1102	4	-0.03643322691979023
1102	5	-0.014294216216661937
1102	6	-0.04757798999466445
1102	7	-0.07821663728500994
1102	8	-0.031301636317984105
1102	9	-0.07623503772307316
1102	10-14	-0.007621544292724991
1102	15-19	-0.004890743657703922
1102	20-24	0.014277273803500634
1102	25-29	0.019892724237827508
1102	30-34	0.03584252398044896
1102	35-39	0.035525098402438005
1102	40-44	0.013497345386710435
1102	45-49	-0.01299351517302938
1102	50-54	-0.010865471250120606
1102	55-59	-0.026334672098762724
1102	60-64	-0.013360955236450422
1102	65-69	-0.05406844929790111
1102	70-74	0.05701254160910452
1102	75-79	0.04412779769100439
1102	80-84	-0.058200357009909
1102	85-89	0.006999347967507674
1102	90-94	0.022231771033276004
1102	95-99	-0.013056733498849837
1102	100-104	-0.012461533993857188
1102	105-109	0.051316308148372514
1102	110-114	0.04095342096101717
1102	115-119	0.04019388670441515
1102	120-124	-0.038692575420284925
1102	125-129	0.05071107533388641
1102	130-134	-0.010387422686505943
1102	135-139	-0.018378652902654835
1102	140-144	-0.19540200134908758
1102	145-149	-0.04053713277749438
1102	150	-0.2932919951999793
1103	1	0.03092579426747477
1103	2	-0.007947161434017858
1103	3	-0.02565523136203751
1103	4	0.10025717344683471
1103	5	0.068414203233786
1103	6	-0.010235654239600933
1103	7	-0.015607961499966905
1103	8	0.024085447238050506
1103	9	-0.0022874230604585932
1103	10-14	-0.018961672476457636
1103	15-19	-0.01797051378672876
1103	20-24	0.017094708812805948
1103	25-29	0.021865657976810837
