##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR25630409_2_cutadapt.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43543075
Total Bases	6.4 Gbp
Sequences flagged as poor quality	0
Sequence length	0-150
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.10253433009367	37.0	37.0	37.0	37.0	37.0
2	36.06419137008385	37.0	37.0	37.0	37.0	37.0
3	36.19352974333639	37.0	37.0	37.0	37.0	37.0
4	36.21364983139218	37.0	37.0	37.0	37.0	37.0
5	36.266049458446396	37.0	37.0	37.0	37.0	37.0
6	36.221686938516974	37.0	37.0	37.0	37.0	37.0
7	36.210580442493516	37.0	37.0	37.0	37.0	37.0
8	36.29212129713633	37.0	37.0	37.0	37.0	37.0
9	36.298090023726864	37.0	37.0	37.0	37.0	37.0
10-14	36.29554057971613	37.0	37.0	37.0	37.0	37.0
15-19	36.27786231109267	37.0	37.0	37.0	37.0	37.0
20-24	36.247867327338746	37.0	37.0	37.0	37.0	37.0
25-29	36.20457542738209	37.0	37.0	37.0	37.0	37.0
30-34	36.16262727963745	37.0	37.0	37.0	37.0	37.0
35-39	36.12598986416248	37.0	37.0	37.0	37.0	37.0
40-44	36.09839571578435	37.0	37.0	37.0	37.0	37.0
45-49	36.06394926678587	37.0	37.0	37.0	37.0	37.0
50-54	36.02202076895954	37.0	37.0	37.0	37.0	37.0
55-59	35.989671685822444	37.0	37.0	37.0	37.0	37.0
60-64	35.94877981012861	37.0	37.0	37.0	37.0	37.0
65-69	35.921114402423136	37.0	37.0	37.0	37.0	37.0
70-74	35.87420498381702	37.0	37.0	37.0	37.0	37.0
75-79	35.79492071421843	37.0	37.0	37.0	37.0	37.0
80-84	35.76836676715676	37.0	37.0	37.0	37.0	37.0
85-89	35.71948431005704	37.0	37.0	37.0	37.0	37.0
90-94	35.659089719214215	37.0	37.0	37.0	37.0	37.0
95-99	35.58799381075694	37.0	37.0	37.0	37.0	37.0
100-104	35.55485447740895	37.0	37.0	37.0	37.0	37.0
105-109	35.51329889587787	37.0	37.0	37.0	37.0	37.0
110-114	35.394170994973535	37.0	37.0	37.0	37.0	37.0
115-119	35.318201622486846	37.0	37.0	37.0	37.0	37.0
120-124	35.30149517144743	37.0	37.0	37.0	37.0	37.0
125-129	35.18291502566461	37.0	37.0	37.0	29.8	37.0
130-134	35.083275313272395	37.0	37.0	37.0	25.0	37.0
135-139	34.96382386001907	37.0	37.0	37.0	25.0	37.0
140-144	34.82704241633021	37.0	37.0	37.0	25.0	37.0
145-149	34.78225076261143	37.0	37.0	37.0	25.0	37.0
150	34.772127314581965	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.007173739773236321
1101	2	0.020363239976191494
1101	3	0.04247397841523792
1101	4	-0.022929017268516816
1101	5	-0.0694414369087255
1101	6	0.02996372388280122
1101	7	-0.043176383585084466
1101	8	-0.06021951755846544
1101	9	-0.053512265644748425
1101	10-14	-0.008345335919216268
1101	15-19	-0.029838502332765415
1101	20-24	-0.0642498375206273
1101	25-29	-0.004950902875414442
1101	30-34	-0.03747830002225783
1101	35-39	-0.04759835293837966
1101	40-44	-0.04850096400463144
1101	45-49	-0.01913886248947705
1101	50-54	-0.049596656081071444
1101	55-59	-0.026954263435669645
1101	60-64	-0.038713879261344175
1101	65-69	-0.06287759690109596
1101	70-74	-0.058249091493927097
1101	75-79	-0.06365090071481916
1101	80-84	-0.09447832369576048
1101	85-89	-0.0811260200193189
1101	90-94	-0.09555347768693423
1101	95-99	-0.021627447760700136
1101	100-104	0.012479010367670185
1101	105-109	-0.022059942099517116
1101	110-114	-0.04879462534138668
1101	115-119	0.07526128518450292
1101	120-124	-0.00599795275800119
1101	125-129	0.11012450124586337
1101	130-134	0.02288857831505453
1101	135-139	-6.667347088367137E-4
1101	140-144	-0.037697125853938473
1101	145-149	0.062260716407301686
1101	150	0.07819104896537254
1102	1	0.14644623364078058
1102	2	0.08855115779499556
1102	3	0.1497034200316918
1102	4	0.057608277903057115
1102	5	0.047418462545635975
1102	6	0.06288030099532449
1102	7	0.02657079717619837
1102	8	0.06361632496135883
1102	9	0.03490449503056681
1102	10-14	0.05731691373286907
1102	15-19	0.0058183388057884144
1102	20-24	0.017903589795373875
1102	25-29	0.05765577791945731
1102	30-34	-0.010276520892290364
1102	35-39	0.01811464096896742
1102	40-44	0.03697374349205518
1102	45-49	-0.011622958972608899
1102	50-54	-0.017855994490318494
1102	55-59	-0.049809075100981204
1102	60-64	-0.06832684573635817
1102	65-69	-0.11374296241972104
1102	70-74	-0.04072904054223159
1102	75-79	-0.06902938256521196
1102	80-84	-0.03231308620438966
1102	85-89	-0.00472589843343485
1102	90-94	-0.033908740288417505
1102	95-99	0.009374775668312907
1102	100-104	0.05586825874179624
1102	105-109	0.06532632420546491
1102	110-114	0.0668436068622924
1102	115-119	0.07784515738590159
1102	120-124	0.020747494973889502
1102	125-129	0.13543019113301114
1102	130-134	-0.0027567041097924516
1102	135-139	0.05943525021900342
1102	140-144	0.09311061597575332
1102	145-149	0.1446434388253124
1102	150	0.09739939368536454
1103	1	-0.041173285220182265
1103	2	0.07760361895667955
1103	3	0.006870898531403213
1103	4	0.07772018029066174
1103	5	-0.07604418174055638
1103	6	-0.005290707323389654
1103	7	-0.04497052094842502
1103	8	-0.03341535732526779
1103	9	0.06150961502235219
1103	10-14	-0.03470863956689385
1103	15-19	-0.04689442059105886
1103	20-24	-0.06202093089035543
1103	25-29	-0.04586514328408242
1103	30-34	-0.08854970551676189
1103	35-39	-0.03255998162541118
1103	40-44	-0.1367510420295801
1103	45-49	-0.09759376201510861
1103	50-54	-0.053658935856887524
1103	55-59	-0.0810963629576733
1103	60-64	-0.05390405881785654
1103	65-69	-0.08558583474960813
1103	70-74	-0.05462122286733262
1103	75-79	-0.10693665624317816
1103	80-84	-0.15994890135559814
1103	85-89	-0.07443291227735216
1103	90-94	-0.13636612596873476
1103	95-99	-0.08861804431013809
1103	100-104	-0.07730752159189791
1103	105-109	-0.14186218243811766
1103	110-114	-0.12071456786883061
1103	115-119	0.03537354231276879
1103	120-124	0.013657992492596804
1103	125-129	0.022669022655719573
1103	130-134	0.026052171516937506
1103	135-139	-0.018946737517133272
1103	140-144	0.02743335880967379
1103	145-149	0.04263980867726502
