##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR25630409_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43543075
Total Bases	6.5 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.10253453620352	37.0	37.0	37.0	37.0	37.0
2	36.06419039077971	37.0	37.0	37.0	37.0	37.0
3	36.19352907437061	37.0	37.0	37.0	37.0	37.0
4	36.21364986280827	37.0	37.0	37.0	37.0	37.0
5	36.26604974499389	37.0	37.0	37.0	37.0	37.0
6	36.22168698466978	37.0	37.0	37.0	37.0	37.0
7	36.21058018984649	37.0	37.0	37.0	37.0	37.0
8	36.29212160601887	37.0	37.0	37.0	37.0	37.0
9	36.29808976513487	37.0	37.0	37.0	37.0	37.0
10-14	36.29554036319208	37.0	37.0	37.0	37.0	37.0
15-19	36.27785947133959	37.0	37.0	37.0	37.0	37.0
20-24	36.247858778921795	37.0	37.0	37.0	37.0	37.0
25-29	36.20455337157516	37.0	37.0	37.0	37.0	37.0
30-34	36.16258189390621	37.0	37.0	37.0	37.0	37.0
35-39	36.12589657942164	37.0	37.0	37.0	37.0	37.0
40-44	36.09825890798938	37.0	37.0	37.0	37.0	37.0
45-49	36.06373099740889	37.0	37.0	37.0	37.0	37.0
50-54	36.021714520621245	37.0	37.0	37.0	37.0	37.0
55-59	35.98925048816603	37.0	37.0	37.0	37.0	37.0
60-64	35.94820408526499	37.0	37.0	37.0	37.0	37.0
65-69	35.92034249303707	37.0	37.0	37.0	37.0	37.0
70-74	35.87320831613293	37.0	37.0	37.0	37.0	37.0
75-79	35.79357545143516	37.0	37.0	37.0	37.0	37.0
80-84	35.76667521069654	37.0	37.0	37.0	37.0	37.0
85-89	35.71726000517878	37.0	37.0	37.0	37.0	37.0
90-94	35.65603881673493	37.0	37.0	37.0	37.0	37.0
95-99	35.58355107901774	37.0	37.0	37.0	37.0	37.0
100-104	35.54757395980876	37.0	37.0	37.0	37.0	37.0
105-109	35.50048882399785	37.0	37.0	37.0	37.0	37.0
110-114	35.37145140530383	37.0	37.0	37.0	37.0	37.0
115-119	35.27847502272176	37.0	37.0	37.0	37.0	37.0
120-124	35.23606369554746	37.0	37.0	37.0	34.6	37.0
125-129	35.07910984697337	37.0	37.0	37.0	25.0	37.0
130-134	34.92587854670346	37.0	37.0	37.0	25.0	37.0
135-139	34.738722935851456	37.0	37.0	37.0	25.0	37.0
140-144	34.51092139450417	37.0	37.0	37.0	25.0	37.0
145-149	34.349265957904905	37.0	37.0	37.0	25.0	37.0
150	34.26417594531392	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.006718071332286968
1101	2	0.022803682924354973
1101	3	0.0463742332044248
1101	4	-0.02328686063448515
1101	5	-0.07134933848988823
1101	6	0.03216131832910207
1101	7	-0.04160573358706898
1101	8	-0.055934124515047756
1101	9	-0.05116707040044588
1101	10-14	-0.005462487144278327
1101	15-19	-0.02936237878362391
1101	20-24	-0.06135402479974772
1101	25-29	-0.002543905893944043
1101	30-34	-0.0340549186061736
1101	35-39	-0.044988518342194084
1101	40-44	-0.0469670666145916
1101	45-49	-0.0161964843671214
1101	50-54	-0.04513996590287661
1101	55-59	-0.026191457201207413
1101	60-64	-0.03722558795551123
1101	65-69	-0.060625846794252425
1101	70-74	-0.05558042329894164
1101	75-79	-0.06117273198923101
1101	80-84	-0.09148894915824002
1101	85-89	-0.0764507477343912
1101	90-94	-0.09152654643819602
1101	95-99	-0.018361554535928803
1101	100-104	0.006869486777929978
1101	105-109	-0.023574147592015038
1101	110-114	-0.05628783547501115
1101	115-119	0.061221934406418654
1101	120-124	-0.013947189434247775
1101	125-129	0.10342758181139544
1101	130-134	0.010810758888084138
1101	135-139	-0.0024995669005107857
1101	140-144	-0.06471796607291935
1101	145-149	0.02229548290904404
1101	150	0.014858471685521124
1102	1	0.14690190208172993
1102	2	0.09099160074315904
1102	3	0.15360367482087867
1102	4	0.05725043453708878
1102	5	0.04551056096447326
1102	6	0.06507789544162534
1102	7	0.02814144717421385
1102	8	0.06790171800477651
1102	9	0.03724969027486935
1102	10-14	0.06019976250780701
1102	15-19	0.0062944623549299195
1102	20-24	0.02079940251625345
1102	25-29	0.06006277490092771
1102	30-34	-0.006853139476206138
1102	35-39	0.020724475565153
1102	40-44	0.03850764088209502
1102	45-49	-0.00868058085025325
1102	50-54	-0.013399304312123661
1102	55-59	-0.04904626886651897
1102	60-64	-0.06683855443052522
1102	65-69	-0.11147084815102204
1102	70-74	-0.03791292178348016
1102	75-79	-0.06686522031748865
1102	80-84	-0.028827774898310565
1102	85-89	-0.0016975552451299336
1102	90-94	-0.03366447207095291
1102	95-99	0.007602799759197865
1102	100-104	0.05397170025942444
1102	105-109	0.07012298530187167
1102	110-114	0.0660534829327517
1102	115-119	0.08379525837043644
1102	120-124	0.005109969681839743
1102	125-129	0.12345415294375073
1102	130-134	-0.047437595450112724
1102	135-139	0.018286497620792375
1102	140-144	0.04444977988359966
1102	145-149	0.09732637676891898
1102	150	0.006088476054642911
1103	1	-0.04071761677923291
1103	2	0.08004406190484303
1103	3	0.010771153320590088
1103	4	0.07736233692469341
1103	5	-0.0779520833217191
1103	6	-0.0030931128770887995
1103	7	-0.043399870950409536
1103	8	-0.029129964281850107
1103	9	0.06385481026665474
1103	10-14	-0.03182579079195591
1103	15-19	-0.046418297041917356
1103	20-24	-0.059125118169475854
1103	25-29	-0.04345814630261202
1103	30-34	-0.08512632410067766
1103	35-39	-0.029950147029225604
1103	40-44	-0.13521714463954027
1103	45-49	-0.09878573032049331
1103	50-54	-0.053248823126061495
1103	55-59	-0.08311175299499496
1103	60-64	-0.05578579739918865
1103	65-69	-0.08614932500826455
1103	70-74	-0.06062977922820778
1103	75-79	-0.11548239139127503
1103	80-84	-0.16419620676384028
1103	85-89	-0.07791292665015703
1103	90-94	-0.14077684575214988
1103	95-99	-0.09019937339978412
1103	100-104	-0.0824232690884088
1103	105-109	-0.1462072471872844
1103	110-114	-0.12640531323946647
1103	115-119	0.025818912751283563
1103	120-124	-0.0014091093895061135
1103	125-129	0.017886160976352983
1103	130-134	0.022946901269470743
1103	135-139	-0.006851825058703298
1103	140-144	-8.26176624997288E-5
1103	145-149	0.019620480607592583
1103	150	-0.1471763442841123
1104	1	0.05222664336262284
1104	2	0.005923849963124894
1104	3	-0.016786028408134257
1104	4	-0.005835357535318053
1104	5	-0.0952469023586957
1104	6	-0.12045491287788934
1104	7	-0.07209580171156205
1104	8	5.063879290432283E-4
1104	9	-0.04938551735889263
1104	10-14	-0.09628098383261374
1104	15-19	-0.0796204411592285
1104	20-24	-0.07863045430749338
1104	25-29	-0.09135901592910756
1104	30-34	-0.13934229266757114
1104	35-39	-0.07955983035529357
1104	40-44	-0.10971225383050154
1104	45-49	-0.09965782682829172
1104	50-54	-0.11478674819093015
1104	55-59	-0.16211380201677628
1104	60-64	-0.10631883002044162
1104	65-69	-0.11893396413741897
1104	70-74	-0.071126756911994
1104	75-79	-0.14358540985717383
1104	80-84	-0.17542449016595896
1104	85-89	-0.09386805376323792
1104	90-94	-0.12495310158165296
1104	95-99	-0.13171365897915166
1104	100-104	-0.11456061929387573
1104	105-109	-0.09344132204541467
1104	110-114	-0.06353045685442282
1104	115-119	-0.056405015072009235
1104	120-124	-0.044577214536545284
1104	125-129	0.014385170609770626
1104	130-134	-0.1182337871451864
1104	135-139	-0.11717074380287329
1104	140-144	-0.008408998027917391
1104	145-149	-0.08394636468709393
1104	150	-0.2824441101311592
1105	1	0.18039914228799603
1105	2	-0.00434209563246668
1105	3	0.03381020554837022
1105	4	0.031048193087066522
1105	5	-0.009499758848896533
1105	6	0.019396686914163297
1105	7	0.004500670801540707
1105	8	-0.10438739812169473
1105	9	0.012700232485258311
1105	10-14	0.0011830155012191312
1105	15-19	0.019025844672079018
1105	20-24	0.017118530139065058
1105	25-29	0.04504008475753807
1105	30-34	-0.026970684503538678
1105	35-39	0.030326702224556357
1105	40-44	5.392793457588141E-4
1105	45-49	-0.0026602101437305237
1105	50-54	0.028883989691635747
