## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[campy_SRR25630409_rg.bam] OUTPUT=campy_SRR25630409_marked_duplicates.bam METRICS_FILE=campy_SRR25630409_marked_dupes_metrics.txt REMOVE_DUPLICATES=true VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 08 08:25:43 PDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
campylomormyrus.fasta	313360	34037203	4081405	17436881	263558	17441647	0	0.513935	20483895

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	10504182	10504182
2.0	1.189824	3668304	3668304
3.0	1.225857	1242618	1242618
4.0	1.232697	465683	465683
5.0	1.233996	208061	208061
6.0	1.234242	112326	112326
7.0	1.234289	70308	70308
8.0	1.234298	48822	48822
9.0	1.2343	36491	36491
10.0	1.2343	28182	28182
11.0	1.2343	22692	22692
12.0	1.2343	18503	18503
13.0	1.2343	15350	15350
14.0	1.2343	12931	12931
15.0	1.2343	11072	11072
16.0	1.2343	9658	9658
17.0	1.2343	8417	8417
18.0	1.2343	7262	7262
19.0	1.2343	6592	6592
20.0	1.2343	5878	5878
21.0	1.2343	5292	5292
22.0	1.2343	4762	4762
23.0	1.2343	4386	4386
24.0	1.2343	4032	4032
25.0	1.2343	3689	3689
26.0	1.2343	3403	3403
27.0	1.2343	3084	3084
28.0	1.2343	2791	2791
29.0	1.2343	2736	2736
30.0	1.2343	2479	2479
31.0	1.2343	2282	2282
32.0	1.2343	2073	2073
33.0	1.2343	1998	1998
34.0	1.2343	1847	1847
35.0	1.2343	1698	1698
36.0	1.2343	1612	1612
37.0	1.2343	1552	1552
38.0	1.2343	1450	1450
39.0	1.2343	1382	1382
40.0	1.2343	1276	1276
41.0	1.2343	1213	1213
42.0	1.2343	1174	1174
43.0	1.2343	1050	1050
44.0	1.2343	1078	1078
45.0	1.2343	994	994
46.0	1.2343	921	921
47.0	1.2343	917	917
48.0	1.2343	845	845
49.0	1.2343	802	802
50.0	1.2343	784	784
51.0	1.2343	764	764
52.0	1.2343	702	702
53.0	1.2343	663	663
54.0	1.2343	603	603
55.0	1.2343	617	617
56.0	1.2343	623	623
57.0	1.2343	589	589
58.0	1.2343	588	588
59.0	1.2343	546	546
60.0	1.2343	523	523
61.0	1.2343	479	479
62.0	1.2343	492	492
63.0	1.2343	488	488
64.0	1.2343	433	433
65.0	1.2343	427	427
66.0	1.2343	418	418
67.0	1.2343	408	408
68.0	1.2343	395	395
69.0	1.2343	384	384
70.0	1.2343	348	348
71.0	1.2343	327	327
72.0	1.2343	358	358
73.0	1.2343	304	304
74.0	1.2343	333	333
75.0	1.2343	348	348
76.0	1.2343	310	310
77.0	1.2343	277	277
78.0	1.2343	293	293
79.0	1.2343	282	282
80.0	1.2343	286	286
81.0	1.2343	279	279
82.0	1.2343	258	258
83.0	1.2343	238	238
84.0	1.2343	261	261
85.0	1.2343	219	219
