##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	trim_paired_SRR25630385_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	32806406
Total Bases	4.4 Gbp
Sequences flagged as poor quality	0
Sequence length	35-142
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.34982405570424	37.0	37.0	37.0	37.0	37.0
2	36.34397800234503	37.0	37.0	37.0	37.0	37.0
3	36.387637524207925	37.0	37.0	37.0	37.0	37.0
4	36.36348925267827	37.0	37.0	37.0	37.0	37.0
5	36.35445034728888	37.0	37.0	37.0	37.0	37.0
6	36.35370153012189	37.0	37.0	37.0	37.0	37.0
7	36.35435329307331	37.0	37.0	37.0	37.0	37.0
8	36.351817507836735	37.0	37.0	37.0	37.0	37.0
9	36.34798100102766	37.0	37.0	37.0	37.0	37.0
10-14	36.3408492353597	37.0	37.0	37.0	37.0	37.0
15-19	36.3070571643843	37.0	37.0	37.0	37.0	37.0
20-24	36.27153403515155	37.0	37.0	37.0	37.0	37.0
25-29	36.23844445502503	37.0	37.0	37.0	37.0	37.0
30-34	36.2131991294627	37.0	37.0	37.0	37.0	37.0
35-39	36.18558101653396	37.0	37.0	37.0	37.0	37.0
40-44	36.16677388202193	37.0	37.0	37.0	37.0	37.0
45-49	36.12685857247343	37.0	37.0	37.0	37.0	37.0
50-54	36.105271501713005	37.0	37.0	37.0	37.0	37.0
55-59	36.08443896476142	37.0	37.0	37.0	37.0	37.0
60-64	36.05267174165844	37.0	37.0	37.0	37.0	37.0
65-69	36.00888730105359	37.0	37.0	37.0	37.0	37.0
70-74	35.96754672535601	37.0	37.0	37.0	37.0	37.0
75-79	35.95429745301286	37.0	37.0	37.0	37.0	37.0
80-84	35.89597797775237	37.0	37.0	37.0	37.0	37.0
85-89	35.85554231697644	37.0	37.0	37.0	37.0	37.0
90-94	35.81389186761147	37.0	37.0	37.0	37.0	37.0
95-99	35.817159282065056	37.0	37.0	37.0	37.0	37.0
100-104	35.749632829224915	37.0	37.0	37.0	37.0	37.0
105-109	35.66558965384429	37.0	37.0	37.0	37.0	37.0
110-114	35.66113895040132	37.0	37.0	37.0	37.0	37.0
115-119	35.6256746594723	37.0	37.0	37.0	37.0	37.0
120-124	35.53566758902075	37.0	37.0	37.0	37.0	37.0
125-129	35.49171828231755	37.0	37.0	37.0	37.0	37.0
130-134	35.35864657924565	37.0	37.0	37.0	37.0	37.0
135-139	35.35009027869944	37.0	37.0	37.0	37.0	37.0
140-142	35.66701905990763	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.04430718200229933
1101	2	0.02172278268702854
1101	3	-0.038532321631230104
1101	4	-0.03156920083207382
1101	5	0.004944391531445547
1101	6	0.008657405429161713
1101	7	-0.029434965000028512
1101	8	-0.05022517438572294
1101	9	0.014038065859253379
1101	10-14	-0.046039527881120534
1101	15-19	-0.01712276375059929
1101	20-24	0.0030410592028218275
1101	25-29	-0.04173910076272591
1101	30-34	-0.046757144984518106
1101	35-39	-0.0034134784233117443
1101	40-44	-0.034965469108868774
1101	45-49	0.017373360731006926
1101	50-54	-0.05922463181465787
1101	55-59	-0.0468849354391665
1101	60-64	-0.03241755255616141
1101	65-69	-0.01111049034832945
1101	70-74	0.015146557924587967
1101	75-79	-0.004215564142647565
1101	80-84	-0.0441054897424209
1101	85-89	0.030733832456874666
1101	90-94	0.026562294508117645
1101	95-99	0.026388141799877474
1101	100-104	3.419890044398244E-5
1101	105-109	0.0390131792726649
1101	110-114	0.04379860249500922
1101	115-119	0.1262177108633793
1101	120-124	0.051877803500168795
1101	125-129	0.06147256087573538
1101	130-134	-0.02398123282830511
1101	135-139	0.12027418337810758
1101	140-142	-0.0021773151043547045
1102	1	-0.0075241611638361405
1102	2	-0.008306114809784049
1102	3	-0.029139757769456764
1102	4	0.014300347772611133
1102	5	0.1297761888538531
1102	6	0.07387828023365728
1102	7	0.015072591652938172
1102	8	-0.016365753773456504
1102	9	0.07863953230108223
1102	10-14	-0.021031814145771932
1102	15-19	-0.03334816535787155
1102	20-24	-0.05762938763002978
1102	25-29	0.02102555134367634
1102	30-34	-0.016071089540943717
1102	35-39	-0.006211164789981183
1102	40-44	-0.016112610432251984
1102	45-49	0.05530141282613954
1102	50-54	-0.08384664220676541
1102	55-59	-0.05092553583521209
1102	60-64	-0.10717773277521303
1102	65-69	-0.06166514864690953
1102	70-74	-0.033977877547123114
1102	75-79	-0.010858035437458113
1102	80-84	-0.04496878245470981
1102	85-89	-0.021652338426306983
1102	90-94	-0.008181125910176945
1102	95-99	-0.001765036164385947
1102	100-104	0.049804942747570635
1102	105-109	0.056164490962565594
1102	110-114	0.06227511126513008
1102	115-119	0.11179218737188279
1102	120-124	0.004090210904088565
1102	125-129	0.07145169192051526
1102	130-134	0.024749540711660245
1102	135-139	0.2335989994076897
1102	140-142	-0.009736426477026328
1103	1	-0.020556482099358675
1103	2	-0.0959587113725604
1103	3	-0.11742710309756887
1103	4	0.01075942175644684
1103	5	0.02126687395181648
1103	6	-0.032176736940407125
1103	7	-0.12922904635018284
1103	8	-0.023714691146757616
1103	9	-0.05624000860087364
1103	10-14	-0.07898663822435736
1103	15-19	-0.07803553715390876
1103	20-24	-0.031206322043736634
1103	25-29	-0.10605259518029442
