##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	trim_paired_SRR25630409_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	42909469
Total Bases	5.9 Gbp
Sequences flagged as poor quality	0
Sequence length	35-142
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.383707032123844	37.0	37.0	37.0	37.0	37.0
2	36.37665725949673	37.0	37.0	37.0	37.0	37.0
3	36.41155328675822	37.0	37.0	37.0	37.0	37.0
4	36.38568020965256	37.0	37.0	37.0	37.0	37.0
5	36.3800736615967	37.0	37.0	37.0	37.0	37.0
6	36.37889522706515	37.0	37.0	37.0	37.0	37.0
7	36.38145289096912	37.0	37.0	37.0	37.0	37.0
8	36.37946078987834	37.0	37.0	37.0	37.0	37.0
9	36.37546283781792	37.0	37.0	37.0	37.0	37.0
10-14	36.36869473728514	37.0	37.0	37.0	37.0	37.0
15-19	36.3350206034943	37.0	37.0	37.0	37.0	37.0
20-24	36.30144180064312	37.0	37.0	37.0	37.0	37.0
25-29	36.268764607644066	37.0	37.0	37.0	37.0	37.0
30-34	36.240681892381374	37.0	37.0	37.0	37.0	37.0
35-39	36.21474776951156	37.0	37.0	37.0	37.0	37.0
40-44	36.19416152254397	37.0	37.0	37.0	37.0	37.0
45-49	36.16024305239375	37.0	37.0	37.0	37.0	37.0
50-54	36.1392942916259	37.0	37.0	37.0	37.0	37.0
55-59	36.11998428107984	37.0	37.0	37.0	37.0	37.0
60-64	36.088642885543756	37.0	37.0	37.0	37.0	37.0
65-69	36.04521385245774	37.0	37.0	37.0	37.0	37.0
70-74	36.00507174677612	37.0	37.0	37.0	37.0	37.0
75-79	35.98686682688441	37.0	37.0	37.0	37.0	37.0
80-84	35.93243461953637	37.0	37.0	37.0	37.0	37.0
85-89	35.89315720425931	37.0	37.0	37.0	37.0	37.0
90-94	35.85373830062681	37.0	37.0	37.0	37.0	37.0
95-99	35.853446916998436	37.0	37.0	37.0	37.0	37.0
100-104	35.78948140679633	37.0	37.0	37.0	37.0	37.0
105-109	35.70801671442268	37.0	37.0	37.0	37.0	37.0
110-114	35.70375555497186	37.0	37.0	37.0	37.0	37.0
115-119	35.66904694811941	37.0	37.0	37.0	37.0	37.0
120-124	35.58520865285554	37.0	37.0	37.0	37.0	37.0
125-129	35.544424116095456	37.0	37.0	37.0	37.0	37.0
130-134	35.41791581239154	37.0	37.0	37.0	37.0	37.0
135-139	35.41033793734231	37.0	37.0	37.0	37.0	37.0
140-142	35.71077447657465	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.018858076397009427
1101	2	0.019680152445367582
1101	3	0.051664122172780935
1101	4	0.039713649966543585
1101	5	-0.014553939472200739
1101	6	4.7474632967237085E-4
1101	7	-0.056328260900315286
1101	8	-0.04288419616292316
1101	9	-0.0029471164573209307
1101	10-14	-0.024868299135675898
1101	15-19	-0.0015699909097648401
1101	20-24	7.752334547603823E-4
1101	25-29	-5.726562042056571E-4
1101	30-34	-0.026572511545218447
1101	35-39	0.01336302640362419
1101	40-44	0.017749865625930283
1101	45-49	0.02719656790881686
1101	50-54	0.015664458176750884
1101	55-59	-0.03866263467239861
1101	60-64	-0.025378049485283327
1101	65-69	-0.007836936863817812
1101	70-74	0.004682822459074032
1101	75-79	-0.043756935123937524
1101	80-84	-0.0277407278262487
1101	85-89	0.004123372836446038
1101	90-94	0.05138896813569005
1101	95-99	0.02573343884902357
1101	100-104	0.01522768342215386
1101	105-109	0.08193295049294136
1101	110-114	0.06509151253106182
1101	115-119	0.13091355045367692
1101	120-124	0.07380424949865727
1101	125-129	0.12285460932437076
1101	130-134	0.026563285688062876
1101	135-139	0.1699909027578812
1101	140-142	0.007610209755014807
1102	1	0.009702489790008428
1102	2	-0.003952179817083845
1102	3	0.02688522892832168
1102	4	-0.02142314352369823
1102	5	0.08326068954981736
1102	6	0.011113825109148934
1102	7	-0.058946429542466205
1102	8	-0.06657786513108732
1102	9	0.10626250944887516
1102	10-14	-0.032641098512165456
1102	15-19	-0.015304888461606936
1102	20-24	-0.019918729844398797
1102	25-29	-0.006083380591171306
1102	30-34	0.02744892118462161
1102	35-39	0.027072804607598755
1102	40-44	-0.01578155475289833
1102	45-49	0.02541126582188724
1102	50-54	-0.041360934099515134
1102	55-59	-0.0522725465495526
1102	60-64	-0.0923284630713681
1102	65-69	-0.025218345062249625
1102	70-74	-0.03541749482457135
1102	75-79	-0.0995953923855879
1102	80-84	-0.03661918654884033
1102	85-89	0.02789989315813557
1102	90-94	-0.02011143806730331
1102	95-99	-0.005767190672813172
1102	100-104	0.01061751891251106
1102	105-109	0.014335482084902651
1102	110-114	0.03413095272485123
1102	115-119	0.04279148898044838
1102	120-124	-0.017845108215006178
1102	125-129	0.08881930517910774
1102	130-134	0.046472404897969
1102	135-139	0.17905368901953267
1102	140-142	0.016869909682860396
1103	1	0.00985510051854277
1103	2	-0.07623562134302375
1103	3	-0.04441730363971885
1103	4	-0.025739366954205423
1103	5	-0.037431995145915664
1103	6	-0.03563462130663453
1103	7	-0.07645326027266464
1103	8	-0.027713932996654478
1103	9	0.02437131249773472
1103	10-14	-0.06694266991262765
1103	15-19	-0.02780339910690799
1103	20-24	-0.0755627856215213
1103	25-29	-0.0210152062985145
1103	30-34	-0.05907609752419063
1103	35-39	-0.02533521065978306
1103	40-44	-0.04881748064730118
1103	45-49	0.0013841862068986188
1103	50-54	-0.0630511983757458
1103	55-59	-0.04104070817320604
1103	60-64	-0.08296632581349428
1103	65-69	-0.035435641882074265
1103	70-74	-0.08857956400934341
1103	75-79	-0.05419960318730688
1103	80-84	-0.019182138903140356
1103	85-89	0.006144355601392704
1103	90-94	-0.04494155470800365
1103	95-99	-0.06198562099023519
1103	100-104	-0.06992743971581916
1103	105-109	0.056050123475628766
1103	110-114	0.06342162899398573
1103	115-119	0.12320740895007987
1103	120-124	-0.03153584532446985
1103	125-129	0.05578222992372872
1103	130-134	-0.05299339299954653
1103	135-139	0.14984367421077138
1103	140-142	-0.02610737918561057
1104	1	-0.03219708479698369
1104	2	-0.01664262203080824
1104	3	0.03437274682881508
1104	4	-0.02904498917303755
1104	5	0.037881506049799896
1104	6	-0.006577585314097689
1104	7	0.008555493754997201
1104	8	-0.04796799104755678
1104	9	-0.0030093054913322703
1104	10-14	-0.027910383613104273
1104	15-19	0.004540373589208002
1104	20-24	-0.03815166874557718
1104	25-29	-0.07274909042808986
1104	30-34	0.012988325361163788
1104	35-39	0.019758233515887014
1104	40-44	0.010334834803373383
1104	45-49	0.00830420079402927
1104	50-54	-0.02377683100826289
1104	55-59	-0.04419156697876048
1104	60-64	-0.046030594280118464
1104	65-69	0.025992430965196434
1104	70-74	-0.019968656824239872
1104	75-79	-0.008839768753318822
1104	80-84	-0.04220860933344284
1104	85-89	0.06564392113456563
1104	90-94	-0.05247664606795155
1104	95-99	-0.02548317528398769
1104	100-104	-0.07593417210868836
1104	105-109	0.02414949383224041
1104	110-114	0.06500915684271291
1104	115-119	0.06975221478058558
1104	120-124	-0.015958694645085814
1104	125-129	0.1428561873617582
1104	130-134	-0.010248575001448046
1104	135-139	0.19873210577472378
1104	140-142	-0.025984349549311503
1105	1	-0.05018795709482049
1105	2	-0.024726690996082823
1105	3	-0.07728299693544471
1105	4	-0.036183265554086574
1105	5	0.04746161651213043
1105	6	0.033768612495642
1105	7	0.07418350133174556
1105	8	-0.005246858720404646
1105	9	-0.03314486444926956
1105	10-14	-0.008794539399147538
1105	15-19	0.009136410793537664
1105	20-24	0.015179790161091944
1105	25-29	-0.042700073489307044
1105	30-34	-0.011661710941133663
1105	35-39	-0.008340468608743379
1105	40-44	-0.02703561805633825
1105	45-49	-0.03650764476522994
1105	50-54	-0.07597680820973807
1105	55-59	-0.09695319604173847
1105	60-64	-0.004304627701223751
1105	65-69	-0.01869258525309192
1105	70-74	-0.04304948900866634
1105	75-79	-0.04364806220605999
1105	80-84	-0.025323230332972457
1105	85-89	0.02953663061698819
1105	90-94	0.011336308799855033
1105	95-99	-0.004361339435270395
1105	100-104	0.00300686662664873
1105	105-109	0.08475679842411665
1105	110-114	0.06438818437444382
1105	115-119	0.1620699604792506
1105	120-124	0.08581755809549918
1105	125-129	0.11747838561132085
1105	130-134	0.007509889512427037
1105	135-139	0.20836325799923827
1105	140-142	0.10790408067563817
1106	1	-0.057168903693522566
1106	2	0.02652769944979383
1106	3	0.1382012721149195
1106	4	-0.003308976718130907
1106	5	-0.01587437393644109
1106	6	-0.0613968624507919
1106	7	-0.04272325445373326
1106	8	-0.13813316709894252
1106	9	-0.06913639552436024
1106	10-14	-0.013762679212554474
1106	15-19	-0.009087716721118966
1106	20-24	0.014724745956613106
1106	25-29	-0.029630015420359257
1106	30-34	-0.007316086381258913
1106	35-39	0.04898570259788926
1106	40-44	0.002981712853639351
1106	45-49	-0.008770067476554289
1106	50-54	-0.015364729297573376
1106	55-59	-0.06271621362648006
1106	60-64	-0.07556839047789765
1106	65-69	-3.487318274224549E-4
1106	70-74	-0.007710624622703222
1106	75-79	-0.04746757140154756
1106	80-84	-0.01162515074258863
1106	85-89	0.09004428882945348
1106	90-94	0.020671860167951195
1106	95-99	-0.021247073295135976
